freq,PowerSpec,sum
0.0,2.7755575615628914e-15 + 0.0im,9.481304630298837e-14 + 0.0im
0.1,2.549945557914438 - 0.4068880284425767im,17.3505569804244 - 13.794742542226741im
0.2,-0.33901630751688494 + 0.33831666658193793im,6.444403175289465 - 15.619303673412773im
0.30000000000000004,-0.9345502294165533 - 0.07526651346235644im,-28.144207309296423 + 5.826042601916808im
0.4,-1.781563200685342 - 3.1786394397813162im,-7.3507952671366485 - 17.81614341617162im
0.5,-0.4462456778173295 - 1.458875028578999im,-12.600768489355426 - 35.165854924425105im
0.6000000000000001,0.46734721586443106 - 0.41979965317426254im,-38.8300644162858 - 33.403521612976014im
0.7000000000000001,-0.3923249421557903 - 0.46324926611082085im,4.378099661729399 - 21.033817712537786im
0.8,0.5293776723431332 + 0.037907329172151796im,39.332529259090336 - 9.419029640320101im
0.9,-0.7115859196713965 + 1.4124668139361034im,5.378408491947431 - 6.231867276158342im
1.0,-1.689435182285564 + 1.75763074096795im,-0.0812582013713361 - 3.1150855732659357im
1.1,0.9333618520505511 - 1.2688931883389796im,8.257052445359882 + 6.199685801979099im
1.2000000000000002,0.18181195425465024 - 0.4409103272954219im,-1.3586395485616345 - 1.133687626283975im
1.3,1.7143245870124932 - 1.042352674395992im,8.164531139510713 - 7.634311058652495im
1.4000000000000001,-0.9467685485083644 + 1.2335441145050807im,9.053608265247803 - 5.672608028436512im
1.5,0.4887189119033137 - 0.2852177488793326im,9.034633126984822 - 2.936138880095186im
1.6,-0.23574744136632098 - 0.01039959656405598im,-5.779841799297831 - 3.506718310182771im
1.7000000000000002,-0.3894317236486451 - 0.21913289621257026im,-4.161166044396748 - 5.855349051512402im
1.8,-0.6627087437157002 - 0.6834800923336632im,7.515479401405375 - 12.04063775463093im
1.9000000000000001,-0.6807341652499068 - 0.26101451723257574im,8.515280483587082 - 6.196533138665595im
2.0,0.34481727082546065 + 0.20090526729001904im,4.96368905837856 - 3.109405271565258im
2.1,0.2370174130976995 + 0.00409619393469518im,3.4095464427882605 + 2.9362097789477897im
2.2,0.14202596438662918 - 0.015728333521260962im,-0.16302950353684786 - 4.587118500069932im
2.3000000000000003,0.2548139396389219 - 0.16284457227581897im,2.20457825610989 - 2.7533201847651756im
2.4000000000000004,0.2107613168886779 - 0.32782666336368393im,1.3916220642873178 - 3.541126930912524im
2.5,0.11530324965993083 - 0.18329892760662803im,2.8716435773709628 - 1.1146174833855547im
2.6,0.04063632718736526 - 0.05178235661996622im,2.732600252656421 - 2.8386112147290614im
2.7,-0.013600527370234539 - 0.19311869992062408im,3.2961223629718797 - 1.5411698851813063im
2.8000000000000003,0.19287099754327702 - 0.025921227976892502im,1.7418667761290134 - 0.7966454065509458im
2.9000000000000004,0.0890429980418806 + 0.010247526634896253im,1.9121176520412997 - 2.134365287954986im
3.0,0.11939664384863302 - 0.06981211969096723im,2.8434809993337398 - 1.3561739211974446im
3.1,0.07334337680464437 - 0.02304776132291357im,2.076483017053331 - 2.068826283076299im
3.2,0.11365466786373989 + 0.011320654950511336im,2.39220873843698 - 1.521032014912766im
3.3000000000000003,0.10177909214576258 - 0.06065888747975948im,2.0962806445859234 - 1.5005053284412484im
3.4000000000000004,0.08692653333569601 - 0.04309517370707733im,2.2857203108069974 - 1.6640136306480815im
