freq,PowerSpec,sum
0.0,-7.824851877558103e-13 + 0.0im,-2.7086555220989794e-11 + 0.0im
0.010101010101010102,0.2668854812359114 - 0.014182789705835891im,221.0267956894229 - 2572.0764416080974im
0.020202020202020204,0.2662556968982349 - 0.02841808310509719im,-398.02639980250467 - 430.89224966536403im
0.030303030303030304,0.2651836893709727 - 0.0427579944788028im,352.11964565321506 - 578.8964350460085im
0.04040404040404041,0.2636326593462737 - 0.05725831016031435im,-252.707020160174 + 144.97180731542036im
0.05050505050505051,0.2615480473285918 - 0.07197720460582246im,155.3190612760875 - 268.5359033687755im
0.06060606060606061,0.2588513363457443 - 0.0869784159801048im,-21.921373151089618 - 211.14575256217645im
0.07070707070707072,0.2554333241110006 - 0.10233165200987582im,-142.97372885862106 - 149.08228520098183im
0.08080808080808081,0.2511419608381678 - 0.11811430756807684im,-60.77549070762451 - 504.8693851530206im
0.09090909090909091,0.2457635155133899 - 0.13441317242345063im,-241.13408782430287 - 70.04321111283619im
0.10101010101010102,0.23899159325549552 - 0.15132589588188772im,-238.80206419513652 + 288.38194108686065im
0.11111111111111112,0.23037290600994478 - 0.16895917858101972im,-79.18718281530401 - 276.92239710580964im
0.12121212121212122,0.21920861879957088 - 0.18742264010237586im,116.98305936703679 - 292.73711298410376im
0.13131313131313133,0.20435761662412905 - 0.20680429503510006im,222.61735949683643 - 264.492267436484im
0.14141414141414144,0.18380342643154152 - 0.22709527769845583im,-309.4090960513238 - 425.50824804567605im
0.15151515151515152,0.15355265667072215 - 0.24794120411933585im,56.91601689132871 - 105.91982718442242im
0.16161616161616163,0.10417789179258438 - 0.2677031319775433im,244.6418938955021 + 477.4650849553285im
0.17171717171717174,0.005447373153179051 - 0.2787124380614683im,37.53053921008137 + 93.55536187916498im
0.18181818181818182,-0.34024274344891414 - 0.21856357170945187im,241.1992010816214 - 63.11552924028709im
0.19191919191919193,1.398432366775197 - 0.8882252680062168im,-41.99211675673198 - 167.32569937180455im
0.20202020202020204,0.398558355469526 - 0.6727573782051748im,212.45150234810885 + 384.4660075571869im
0.21212121212121213,0.14538092788006352 - 0.8256586736246782im,-358.62426952978524 + 158.17288502696445im
0.22222222222222224,-0.32660564652286084 - 1.408173744228742im,110.793272622438 - 443.3950856870784im
0.23232323232323235,6.2804875388703625 + 7.655058857441311im,86.89224972103221 + 131.28548277433603im
0.24242424242424243,1.056932340132907 + 0.5126643991941516im,-364.1917479919961 + 187.63041632935415im
0.25252525252525254,0.7519244648437652 + 0.0898801957273257im,55.27730320036178 + 133.21618542489534im
0.26262626262626265,0.6392569151103198 - 0.07647431282199602im,-112.18875442219475 - 34.33251535909196im
0.27272727272727276,0.5799661842173707 - 0.17483437909550076im,427.06195795055766 - 99.84141410140445im
0.2828282828282829,0.5432327629824227 - 0.2465229888037864im,198.8852609934737 - 282.97493945488895im
0.29292929292929293,0.5181812085699813 - 0.30604422863367275im,-293.89221000460026 - 334.3790272091215im
0.30303030303030304,0.4999280175232873 - 0.3600007575621267im,149.01944071906195 - 51.284338222396315im
0.31313131313131315,0.48590615756705957 - 0.41204612067304175im,-133.49257146565932 - 221.92369672697498im
0.32323232323232326,0.47458959806896184 - 0.46460398910468004im,197.427018356368 - 393.0815187905751im
0.33333333333333337,0.46495861478609474 - 0.5196071065253789im,-82.46176621648969 - 23.602251246099954im
0.3434343434343435,0.45623642364731476 - 0.5788950802656028im,-138.98378423494424 + 76.1667912488474im
