freq,PowerSpec,sum
0.0,6.59472476627343e-14 + 0.0im,1.4527268277220173e-12 + 0.0im
0.1111111111111111,-1.6271842739787372 + 3.6450602179125284im,282.4538984320275 + 285.70167344757226im
0.2222222222222222,2.350351004143928 - 5.9599127457906595im,40.937906722860646 - 109.73123946917721im
0.3333333333333333,1.1976036177180547 - 2.3533868276520167im,-274.87681672755025 + 39.655926413527396im
0.4444444444444444,1.0903123261456116 - 1.7656907561137656im,113.62274977611443 + 59.975223648381586im
0.5555555555555556,0.9465575001862779 - 4.086305365055859im,-49.74497766706149 + 83.7835393372649im
0.6666666666666666,1.556805545720915 - 1.865207240296701im,-53.14609380686987 + 43.78316226417276im
0.7777777777777777,0.44694969136218576 - 1.8407841557696814im,80.87334155984989 + 57.74665427315879im
0.8888888888888888,-2.3999036978115615 - 1.2984320390062096im,-9.457831261295535 - 62.084405176725056im
1.0,3.260788390577889 - 0.801313289796143im,-101.93738748073673 + 105.2125315986965im
1.1111111111111112,-0.7953777016247688 - 1.4680412976712895im,64.95913261148156 + 237.97621869864673im
1.222222222222222,-0.44092516366426926 - 2.005266413456143im,-10.644336382684523 + 50.234766966307426im
1.3333333333333333,-0.15643477093291652 - 4.419651922103248im,-100.82228438895665 - 100.00697735234094im
1.4444444444444444,-0.10531117392034539 + 6.645326213455093im,224.4462762352901 + 34.11491654237123im
1.5555555555555554,-13.037599696392466 + 3.775855867380661im,17.615734135158988 + 94.93911790115328im
1.6666666666666665,-0.503400204803265 + 1.2547223515971169im,-81.31115607950527 + 76.50722543351509im
1.7777777777777777,-0.6261679156542617 + 0.8944703907857924im,-2.6238548289629406 - 30.00755171398989im
1.8888888888888888,0.609258681369623 + 0.31326887167577877im,20.32405786217815 - 136.33959263718026im
2.0,1.7453115578848277 - 0.16282844807696856im,6.190537667595693 - 65.78619739635776im
2.111111111111111,-1.3354638586089858 + 1.945740517878322im,51.13558416478005 + 195.4099030073243im
2.2222222222222223,2.1252670056534724 + 5.634317216200786im,46.47327391222244 + 88.60557288751697im
2.333333333333333,-0.13670883964878067 - 1.999461822234216im,61.53183942776924 + 358.5032415662683im
2.444444444444444,1.9193556895314021 + 2.89689652858043im,87.0449306690449 - 26.611988594678724im
2.5555555555555554,1.0547839573208484 - 0.9160649770971745im,147.8137201637148 + 156.0907239565037im
2.6666666666666665,1.723709260571403 + 1.7208794795744642im,-128.99986211621783 + 192.8980915750984im
2.7777777777777777,-2.6340440660392535 - 1.5877518897828036im,-48.64918980938862 + 103.36415494376747im
2.888888888888889,-0.9937579227520851 + 2.372597233724249im,16.048136294244976 + 232.18623562073566im
3.0,3.5142804034852224 - 2.063319663911619im,15.631337309963534 - 121.2498544991im
3.1111111111111107,-0.27779342850557076 + 1.9002887529416255im,117.28233903050779 + 188.41139478735903im
3.222222222222222,-2.2991267225188157 - 0.2726406479191524im,82.46393516586451 + 103.520174510676im
3.333333333333333,0.18885823699068083 - 1.0212539241554994im,-106.81462327674846 - 63.480057340292625im
3.444444444444444,-0.5767403405585623 - 1.7181780410544796im,30.244954379524767 + 6.87787050691439im
3.5555555555555554,0.8468841564720215 + 1.030309666470436im,-123.49636314886078 + 54.76768851012625im
3.6666666666666665,0.7671869438111416 + 0.6125252479704619im,-200.25084616404163 - 110.5983092503682im
3.7777777777777777,1.2013254493886873 - 0.022655371543602976im,61.26556557143382 + 38.76943536920309im
3.888888888888889,-2.1605544862785067 + 0.06821551436583095im,55.566139104373555 - 128.3063827504824im
4.0,1.0565063871821525 + 0.9194612263514466im,42291.41192194705 + 85.04439778786045im
4.111111111111111,-2.3733567553594885 + 0.5166348379711586im,116.67033148646462 - 91.72326707200247im
4.222222222222222,1.3094785721406481 + 1.765905162134034im,-172.41968519369803 - 60.94889819069748im
4.333333333333333,0.10231782606532747 + 0.42838973750723497im,-126.96915231133335 + 90.3762625060994im
4.444444444444445,0.38915494831852027 - 0.32017854392202916im,-64.87269691157653 + 115.10118891921904im
4.555555555555555,-3.7170382243140727 - 4.7489591521383225im,-29.17386429696614 + 44.58740734979219im
4.666666666666666,-4.991804379820979 - 3.357760148241506im,92.0264769668447 - 225.69536511301985im
4.777777777777778,-1.0236935396997382 - 1.5497535590386728im,188.05468743827205 + 2.4760235034703753im
4.888888888888888,-1.9747071007858508 - 0.004297821981161909im,3.2515773541827326 - 108.7379858758927im
5.0,-0.07616477182880454 + 0.4717275339016749im,-159.58897975811058 - 32.51853505506734im
5.111111111111111,-0.7690893185998524 - 1.1888540372285028im,-98.80254406036991 + 92.3316619701567im
5.222222222222222,-1.9039398867613002 - 0.7281305381375374im,-123.66839512034912 - 32.39572480634497im
5.333333333333333,0.5924937781518674 - 1.1742696216637327im,-17.556610484145295 - 59.21763913867291im
5.444444444444444,1.1085181910652417 + 1.7677616576165884im,45.37950798202026 - 5.147837335235526im
5.555555555555555,-4.532602338471984 - 5.3749444857554405im,103.03229590869914 + 107.31151169544292im
5.666666666666666,0.3363564143071587 + 0.8923366118772394im,-55.18802880640792 - 267.7458042951527im
5.777777777777778,-0.23930821216237042 + 0.7890210056727254im,22.05035945217712 + 52.14136482117022im
5.888888888888888,-1.2419012411184718 + 1.389965267888643im,-78.71041571591277 + 20.21034359928982im
6.0,7.080550590054734 - 5.193712963671428im,141.98243773563598 + 23.85980874584282im
6.111111111111111,3.343900314066372 + 2.4428046499842697im,31.889724936152373 + 61.348063521341615im
6.222222222222221,-0.9191344211748443 + 0.5538447189675959im,143.43398036002887 - 55.70890448593033im
6.333333333333333,-2.0239071548548098 - 3.4577936736441557im,146.77115717068273 + 45.84857430353669im
6.444444444444444,5.601550834139033 + 5.675068693038787im,-134.15914982557325 + 205.0650857075842im
6.555555555555555,3.2299256384101156 + 2.9321374516032743im,149.26261125976828 + 271.70914342955393im
6.666666666666666,4.8924992170839685 + 4.581568637459921im,35.01226013319732 + 228.43429503419958im
6.777777777777778,-3.8995158529485465 - 6.555283277819488im,-130.21335542277754 - 6.358341143559262im
6.888888888888888,3.5557585718424187 + 4.86209674233882im,-30.30817266630411 + 98.73416365110637im
7.0,-2.7826824180211953 - 1.608930745671691im,-6.31330259690112 - 211.32146453166266im
7.111111111111111,-3.0012548307748785 - 2.2524396120847876im,2.2286647314568686 + 1.3992008663659887im
7.222222222222221,-0.3723881489481482 - 2.963271106731638im,161.88019308900988 + 30.56660236965778im
